{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10.igc', 'dec_date': '250111', 'dec_heure': '120833', 'nearest_dist': 759.7588512561554, 'nearest': 'FAYENCE', 'maxi_date': '250111', 'maxi_heure': '141457', 'altiMax': 1630.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10020.igc', 'dec_date': '250511', 'dec_heure': '104636', 'nearest_dist': 18467.15716192936, 'nearest': 'PITHIVIERS', 'maxi_date': '250511', 'maxi_heure': '135751', 'altiMax': 1500.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10021.igc', 'dec_date': '250511', 'dec_heure': '090043', 'nearest_dist': 501.9437647663206, 'nearest': 'PUIVERT', 'maxi_date': '250511', 'maxi_heure': '161323', 'altiMax': 3760.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10022.igc', 'dec_date': '240511', 'dec_heure': '121525', 'nearest_dist': 365.88444802469184, 'nearest': 'BESANCON THISE', 'maxi_date': '240511', 'maxi_heure': '135501', 'altiMax': 2487.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10023.igc', 'dec_date': '070511', 'dec_heure': '124532', 'nearest_dist': 365.2660349814852, 'nearest': 'BESANCON THISE', 'maxi_date': '070511', 'maxi_heure': '150300', 'altiMax': 2323.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10024.igc', 'dec_date': '250511', 'dec_heure': '120754', 'nearest_dist': 321.04130746898943, 'nearest': 'MORET EPISY', 'maxi_date': '250511', 'maxi_heure': '133934', 'altiMax': 1240.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10025.igc', 'dec_date': '250511', 'dec_heure': '095322', 'nearest_dist': 293.07767988423234, 'nearest': 'NOGARO', 'maxi_date': '250511', 'maxi_heure': '151904', 'altiMax': 4333.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10026.igc', 'dec_date': '220511', 'dec_heure': '125046', 'nearest_dist': 237.62218245465405, 'nearest': 'CHARTRES METROPOLE', 'maxi_date': '220511', 'maxi_heure': '145154', 'altiMax': 1619.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10027.igc', 'dec_date': '250511', 'dec_heure': '131511', 'nearest_dist': 492.7640403443497, 'nearest': 'BEYNES THIVERVAL', 'maxi_date': '250511', 'maxi_heure': '140431', 'altiMax': 1313.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10028.igc', 'dec_date': '210511', 'dec_heure': '130512', 'nearest_dist': 281.6294768275833, 'nearest': 'SARREBOURG BUHL', 'maxi_date': '210511', 'maxi_heure': '133536', 'altiMax': 1253.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1003.igc', 'dec_date': '260311', 'dec_heure': '101208', 'nearest_dist': 43371.96045545215, 'nearest': 'SALLANCHES MONT BLANC', 'maxi_date': '260311', 'maxi_heure': '124519', 'altiMax': 3172.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10030.igc', 'dec_date': '140511', 'dec_heure': '143351', 'nearest_dist': 520.4719466604234, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '140511', 'maxi_heure': '144527', 'altiMax': 1311.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10031.igc', 'dec_date': '140511', 'dec_heure': '153003', 'nearest_dist': 490.2023000303268, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '140511', 'maxi_heure': '163259', 'altiMax': 1538.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10032.igc', 'dec_date': '250511', 'dec_heure': '131723', 'nearest_dist': 137.37722157004544, 'nearest': 'MOULINS MONTBEUGNY', 'maxi_date': '250511', 'maxi_heure': '135144', 'altiMax': 1296.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10033.igc', 'dec_date': '240511', 'dec_heure': '105459', 'nearest_dist': 134.9887805680151, 'nearest': 'BUNO BONNEVAUX', 'maxi_date': '240511', 'maxi_heure': '143953', 'altiMax': 1667.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10034.igc', 'dec_date': '250511', 'dec_heure': '130103', 'nearest_dist': 104.9692050530289, 'nearest': 'MOULINS MONTBEUGNY', 'maxi_date': '250511', 'maxi_heure': '150015', 'altiMax': 1584.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10035.igc', 'dec_date': '250511', 'dec_heure': '103437', 'nearest_dist': 432.837980114254, 'nearest': 'VINON', 'maxi_date': '250511', 'maxi_heure': '134453', 'altiMax': 3820.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10036.igc', 'dec_date': '210511', 'dec_heure': '110348', 'nearest_dist': 52597.33528864405, 'nearest': 'SEDAN DOUZY', 'maxi_date': '210511', 'maxi_heure': '140626', 'altiMax': 2040.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10037.igc', 'dec_date': '230511', 'dec_heure': '100826', 'nearest_dist': 49764.69114075991, 'nearest': 'SEDAN DOUZY', 'maxi_date': '230511', 'maxi_heure': '115154', 'altiMax': 2070.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10038.igc', 'dec_date': '240511', 'dec_heure': '112417', 'nearest_dist': 49441.42611601203, 'nearest': 'SEDAN DOUZY', 'maxi_date': '240511', 'maxi_heure': '142531', 'altiMax': 2120.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10039.igc', 'dec_date': '250511', 'dec_heure': '094903', 'nearest_dist': 49691.35754384119, 'nearest': 'SEDAN DOUZY', 'maxi_date': '250511', 'maxi_heure': '132703', 'altiMax': 1830.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10040.igc', 'dec_date': '240511', 'dec_heure': '120749', 'nearest_dist': 202.56031079273433, 'nearest': 'NOGARO', 'maxi_date': '240511', 'maxi_heure': '131602', 'altiMax': 1206.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10041.igc', 'dec_date': '250511', 'dec_heure': '123527', 'nearest_dist': 322.90604344397093, 'nearest': 'MORET EPISY', 'maxi_date': '250511', 'maxi_heure': '125527', 'altiMax': 1167.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10042.igc', 'dec_date': '250511', 'dec_heure': '104141', 'nearest_dist': 186.92710246599938, 'nearest': 'VINON', 'maxi_date': '250511', 'maxi_heure': '123606', 'altiMax': 4221.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10043.igc', 'dec_date': '240511', 'dec_heure': '110350', 'nearest_dist': 131.97988210559618, 'nearest': 'BEYNES THIVERVAL', 'maxi_date': '240511', 'maxi_heure': '133704', 'altiMax': 1702.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10044.igc', 'dec_date': '250511', 'dec_heure': '114934', 'nearest_dist': 573.8243776582259, 'nearest': 'BEYNES THIVERVAL', 'maxi_date': '250511', 'maxi_heure': '131020', 'altiMax': 1443.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10045.igc', 'dec_date': '240511', 'dec_heure': '123318', 'nearest_dist': 284.1249125643203, 'nearest': 'BARCELONNETTE SAINT PONS', 'maxi_date': '240511', 'maxi_heure': '133150', 'altiMax': 4120.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10046.igc', 'dec_date': '250511', 'dec_heure': '110548', 'nearest_dist': 290.4533389345999, 'nearest': 'BARCELONNETTE SAINT PONS', 'maxi_date': '250511', 'maxi_heure': '121612', 'altiMax': 4265.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10047.igc', 'dec_date': '080511', 'dec_heure': '124811', 'nearest_dist': 395.64529282148396, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '080511', 'maxi_heure': '135715', 'altiMax': 2475.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10048.igc', 'dec_date': '090511', 'dec_heure': '124239', 'nearest_dist': 244.45903565853595, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '090511', 'maxi_heure': '133551', 'altiMax': 2601.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10049.igc', 'dec_date': '110511', 'dec_heure': '121652', 'nearest_dist': 327.90936886222744, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '110511', 'maxi_heure': '125840', 'altiMax': 2602.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1005.igc', 'dec_date': '260311', 'dec_heure': '121914', 'nearest_dist': 228.22740382065817, 'nearest': 'CHAMBERY CHALLES LES EAUX', 'maxi_date': '260311', 'maxi_heure': '143026', 'altiMax': 3140.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10050.igc', 'dec_date': '120511', 'dec_heure': '110831', 'nearest_dist': 406.2125094307028, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '120511', 'maxi_heure': '122847', 'altiMax': 3022.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10051.igc', 'dec_date': '210511', 'dec_heure': '120940', 'nearest_dist': 395.6392424762057, 'nearest': 'COLMAR HOUSSEN', 'maxi_date': '210511', 'maxi_heure': '125552', 'altiMax': 1757.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10052.igc', 'dec_date': '130511', 'dec_heure': '105902', 'nearest_dist': 400.69172129369747, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '130511', 'maxi_heure': '120426', 'altiMax': 2169.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10053.igc', 'dec_date': '200511', 'dec_heure': '103533', 'nearest_dist': 409.89355214879856, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '200511', 'maxi_heure': '134341', 'altiMax': 3518.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10054.igc', 'dec_date': '210511', 'dec_heure': '105549', 'nearest_dist': 381.07392220575974, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '210511', 'maxi_heure': '122821', 'altiMax': 3898.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10055.igc', 'dec_date': '220511', 'dec_heure': '120359', 'nearest_dist': 380.4575269735338, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '220511', 'maxi_heure': '124927', 'altiMax': 3028.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10056.igc', 'dec_date': '080511', 'dec_heure': '122055', 'nearest_dist': 371.0889132038775, 'nearest': 'COLMAR HOUSSEN', 'maxi_date': '080511', 'maxi_heure': '141443', 'altiMax': 2679.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10057.igc', 'dec_date': '240511', 'dec_heure': '113235', 'nearest_dist': 49408.45146328632, 'nearest': 'SEDAN DOUZY', 'maxi_date': '240511', 'maxi_heure': '142309', 'altiMax': 2070.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10058.igc', 'dec_date': '210511', 'dec_heure': '105312', 'nearest_dist': 49942.612680137434, 'nearest': 'SEDAN DOUZY', 'maxi_date': '210511', 'maxi_heure': '143631', 'altiMax': 2130.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10059.igc', 'dec_date': '250511', 'dec_heure': '110412', 'nearest_dist': 49699.43957840386, 'nearest': 'SEDAN DOUZY', 'maxi_date': '250511', 'maxi_heure': '123828', 'altiMax': 1850.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1006.igc', 'dec_date': '260311', 'dec_heure': '124548', 'nearest_dist': 120.86867870534148, 'nearest': 'NOGARO', 'maxi_date': '260311', 'maxi_heure': '132333', 'altiMax': 1668.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10060.igc', 'dec_date': '250511', 'dec_heure': '124132', 'nearest_dist': 311.4938674946758, 'nearest': 'LA ROCHE SUR YON LES AJONCS', 'maxi_date': '250511', 'maxi_heure': '131552', 'altiMax': 1152.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10063.igc', 'dec_date': '240511', 'dec_heure': '095217', 'nearest_dist': 456.04974469989173, 'nearest': 'VINON', 'maxi_date': '240511', 'maxi_heure': '140944', 'altiMax': 4262.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10064.igc', 'dec_date': '250511', 'dec_heure': '105643', 'nearest_dist': 624.6087542062212, 'nearest': 'VINON', 'maxi_date': '250511', 'maxi_heure': '133404', 'altiMax': 4083.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10065.igc', 'dec_date': '250511', 'dec_heure': '104914', 'nearest_dist': 584.5243703795497, 'nearest': 'VINON', 'maxi_date': '250511', 'maxi_heure': '131834', 'altiMax': 4110.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10066.igc', 'dec_date': '250511', 'dec_heure': '152122', 'nearest_dist': 577.0390095346078, 'nearest': 'SERRES LA BATIE MONTSALEON', 'maxi_date': '250511', 'maxi_heure': '153930', 'altiMax': 2509.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10067.igc', 'dec_date': '260511', 'dec_heure': '102920', 'nearest_dist': 500.0727999953799, 'nearest': 'SERRES LA BATIE MONTSALEON', 'maxi_date': '260511', 'maxi_heure': '124112', 'altiMax': 4485.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10068.igc', 'dec_date': '260511', 'dec_heure': '110242', 'nearest_dist': 853.7483695602708, 'nearest': 'ANGERS MARCE', 'maxi_date': '260511', 'maxi_heure': '122406', 'altiMax': 1731.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10069.igc', 'dec_date': '260511', 'dec_heure': '101108', 'nearest_dist': 119764.43764077712, 'nearest': 'HAGUENAU', 'maxi_date': '260511', 'maxi_heure': '120236', 'altiMax': 2751.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10070.igc', 'dec_date': '080511', 'dec_heure': '131256', 'nearest_dist': 3279.0520862086482, 'nearest': 'VINON', 'maxi_date': '080511', 'maxi_heure': '143451', 'altiMax': 2437.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10071.igc', 'dec_date': '250511', 'dec_heure': '120412', 'nearest_dist': 344.12621323853546, 'nearest': 'OLORON HERRERE', 'maxi_date': '250511', 'maxi_heure': '150452', 'altiMax': 4625.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10072.igc', 'dec_date': '260511', 'dec_heure': '093259', 'nearest_dist': 638.4356630312116, 'nearest': 'FAYENCE', 'maxi_date': '260511', 'maxi_heure': '133243', 'altiMax': 3870.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10073.igc', 'dec_date': '260511', 'dec_heure': '091812', 'nearest_dist': 739.9466271278669, 'nearest': 'FAYENCE', 'maxi_date': '260511', 'maxi_heure': '123732', 'altiMax': 4035.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10074.igc', 'dec_date': '260511', 'dec_heure': '112658', 'nearest_dist': 17632.19094608279, 'nearest': 'ANNEMASSE', 'maxi_date': '260511', 'maxi_heure': '123608', 'altiMax': 2427.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10075.igc', 'dec_date': '260511', 'dec_heure': '133102', 'nearest_dist': 17666.78036745235, 'nearest': 'ANNEMASSE', 'maxi_date': '260511', 'maxi_heure': '141608', 'altiMax': 2464.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10076.igc', 'dec_date': '260511', 'dec_heure': '104842', 'nearest_dist': 245.5187787694756, 'nearest': 'VINON', 'maxi_date': '260511', 'maxi_heure': '133202', 'altiMax': 3088.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10077.igc', 'dec_date': '260511', 'dec_heure': '113324', 'nearest_dist': 310.0252929993059, 'nearest': 'SAINT MARTIN DE LONDRES', 'maxi_date': '260511', 'maxi_heure': '125457', 'altiMax': 2565.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10078.igc', 'dec_date': '260511', 'dec_heure': '100710', 'nearest_dist': 712.1746566665222, 'nearest': 'FAYENCE', 'maxi_date': '260511', 'maxi_heure': '120258', 'altiMax': 3169.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10079.igc', 'dec_date': '250511', 'dec_heure': '121510', 'nearest_dist': 290.79546967608246, 'nearest': 'MORET EPISY', 'maxi_date': '250511', 'maxi_heure': '134742', 'altiMax': 1404.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1008.igc', 'dec_date': '260311', 'dec_heure': '132941', 'nearest_dist': 428.36778028184494, 'nearest': 'BELFORT CHAUX', 'maxi_date': '260311', 'maxi_heure': '142232', 'altiMax': 2490.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10080.igc', 'dec_date': '230511', 'dec_heure': '123737', 'nearest_dist': 297.51054005779145, 'nearest': 'MORET EPISY', 'maxi_date': '230511', 'maxi_heure': '130601', 'altiMax': 1509.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10081.igc', 'dec_date': '250511', 'dec_heure': '125843', 'nearest_dist': 281.23834581616774, 'nearest': 'NANCY MALZEVILLE', 'maxi_date': '250511', 'maxi_heure': '134931', 'altiMax': 1599.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10082.igc', 'dec_date': '250511', 'dec_heure': '092928', 'nearest_dist': 704.1295358871989, 'nearest': 'FAYENCE', 'maxi_date': '250511', 'maxi_heure': '100444', 'altiMax': 1708.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10083.igc', 'dec_date': '250511', 'dec_heure': '114536', 'nearest_dist': 698.9304722897122, 'nearest': 'FAYENCE', 'maxi_date': '250511', 'maxi_heure': '121616', 'altiMax': 1766.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10084.igc', 'dec_date': '260511', 'dec_heure': '120944', 'nearest_dist': 135.1917588584719, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '260511', 'maxi_heure': '144444', 'altiMax': 3952.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10085.igc', 'dec_date': '260511', 'dec_heure': '114020', 'nearest_dist': 103.71223147683992, 'nearest': 'SISTERON VAUMEILH', 'maxi_date': '260511', 'maxi_heure': '120332', 'altiMax': 2193.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10086.igc', 'dec_date': '260511', 'dec_heure': '105400', 'nearest_dist': 345.49756973005776, 'nearest': 'BARCELONNETTE SAINT PONS', 'maxi_date': '260511', 'maxi_heure': '124340', 'altiMax': 3811.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10087.igc', 'dec_date': '260511', 'dec_heure': '115906', 'nearest_dist': 355.8525564718266, 'nearest': 'SALON EYGUIERES', 'maxi_date': '260511', 'maxi_heure': '135014', 'altiMax': 1194.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10088.igc', 'dec_date': '260511', 'dec_heure': '091843', 'nearest_dist': 373.50349061947696, 'nearest': 'CHAMBERY CHALLES LES EAUX', 'maxi_date': '260511', 'maxi_heure': '131813', 'altiMax': 3701.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10089.igc', 'dec_date': '260511', 'dec_heure': '125109', 'nearest_dist': 325.1744763462768, 'nearest': 'POITIERS BIARD', 'maxi_date': '260511', 'maxi_heure': '135914', 'altiMax': 1804.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1009.igc', 'dec_date': '260311', 'dec_heure': '125335', 'nearest_dist': 253.23672050071417, 'nearest': 'NOGARO', 'maxi_date': '260311', 'maxi_heure': '150729', 'altiMax': 1596.0}
